id,phId,name,tagline,description,thumbnailUrl,launchDate,upvotes,score,speedScore,marketScore,pmfScore,networkScore,growthScore,uncertaintyScore,scoreExplanation,createdAt,updatedAt
48349af4-b4c1-4bfb-bfd9-a5ee15fbb995,1075674,Tastefinder - Swipe movies & TV shows,Swipe to get recommendations that match your taste.,"Tastefinder is a discovery service for movies and TV shows with a swipe interface: like, super-like, dislike, or skip. Your reactions train your feed, and recommendations are built from what you like and super-like while hiding what you disliked. Swipe-first UX - Decide in seconds; no endless scrolling. Four reactions - Like, super-like, dislike, skip so the system learns nuance. Personalized recommendations - A dedicated feed that improves as you swipe.",https://ph-files.imgix.net/abd108ed-c0c2-46cb-85be-3e8dd50dacce.svg?auto=format,2026-02-08T08:01:00Z,4,6.5,7,10,7,4,8,3,"Tastefinder benefits from a massive market and engaging UX for hyper-growth potential, but it currently lacks strong explicit network effects and provides no information regarding the team's capacity for managing blitzscaling risks and uncertainty.",2026-02-08T18:28:46.395Z,2026-02-08T18:28:46.395Z
c915f6d3-90bd-415b-84d0-67ee3b4edce0,1077873,Caricature AI Studio  ,Caricature AI Studio – AI Cartoon & Avatar Generator,"Caricature AI Studio transforms ordinary photos into vivid caricatures, cartoons, and avatars in seconds. Perfect for social profiles, branding, marketing creatives, and fun personalized gifts.",https://ph-files.imgix.net/dbea0b86-1745-4dad-84c0-0348bf91738a.png?auto=format,2026-02-12T08:01:00Z,1,7.3,8,9,8,4,9,6,"Caricature AI Studio demonstrates strong potential for speed, market size, product-market fit, and hyper-growth in a highly competitive AI art space, though it currently lacks direct network effects and faces significant market uncertainty.",2026-02-12T17:53:38.798Z,2026-02-12T17:53:38.798Z
a9719988-f50f-4a38-ac05-dfdd4e151625,1067336,Obi,AI that runs your 1:1 onboarding calls,"Onboard every user like it’s your best live call. Obi is a voice AI agent that talks users through setup, answers questions in real time, and shares insights after every session. No clunky tours or videos—just real conversation, 24/7, at any scale. Try Obi on our website!",https://ph-files.imgix.net/57b87a3f-2eb4-4006-9ed3-2d9ea840d8fa.png?auto=format,2026-02-06T08:01:00Z,164,8,8,9,8,7,9,6,"Obi demonstrates strong potential for blitzscaling by addressing a huge market with a scalable AI solution leveraging data network effects, though it faces significant technical and adoption challenges inherent in advanced AI.",2026-02-07T01:25:53.128Z,2026-02-07T01:25:53.128Z
1fd5d4ef-edae-4270-8315-fe3e8609aaef,1071905,Universal-3 Pro,The first of its kind promptable speech language model,"Universal-3 Pro is a new class of speech language model built for Voice AI. Control transcription using instructions and domain context like names, terminology, and topics to get accurate output at the source. No custom models, no post-processing pipelines, no hallucinations. Includes 1,000 keyterms, audio tagging, and 6-language code-switching for $0.21/hr.",https://ph-files.imgix.net/77d51987-9156-4014-9b49-92f808b76b7c.png?auto=format,2026-02-04T08:01:00Z,88,7,7,9,8,4,8,6,"Universal-3 Pro exhibits strong potential for hyper-growth in a massive market by addressing critical pain points with a novel solution, though it lacks clear network effects and faces significant technical and competitive risks as a 'first of its kind' product.",2026-02-04T22:02:36.536Z,2026-02-04T22:02:36.536Z
1f6ac561-62b2-474f-ad3d-5c1896bde671,1078924,Milano 2026 Live,"A lightning-fast, ad-free tracker for the Winter Olympics.","Official Olympics sites are too slow and bloated. Milano 2026 Live is a minimalist, ad-free alternative built for speed. ⛷️ Key Features: 🚀 Fast: Instant loading, no ads or trackers. 📱 Mobile-First: Clean UI for quick checks on the go. ⚡ Live: Real-time medal tally & results. 📅 Smart Schedule: A clear, readable event timeline. Get the data you need without the noise. Built with Next.js 15. 🥇",https://ph-files.imgix.net/483d110f-8cd6-4210-95f1-210ac8989d1b.x-icon?auto=format,2026-02-14T08:01:00Z,2,6,8,6,9,1,7,4,"The product demonstrates strong PMF and potential for rapid user acquisition during the Olympics due to its fast, ad-free approach, but its time-bound market, absence of network effects, and unaddressed operational/data risks temper its long-term blitzscaling potential.",2026-02-14T19:19:24.399Z,2026-02-14T19:19:24.399Z
45da8638-c3f2-40c7-aff9-e157cb9c2b62,1078640,Video Compressor,"Private, GPU-accelerated video compression in browser","Most online compressors are slow or upload your private videos to a server. Video Compressors solves this with a unique ""Dual-Engine"" architecture: ⚡️ 10x Faster: Uses WebCodecs (GPU) acceleration by default for blazing speeds. 🛡️ Fallback: Seamlessly switches to FFmpeg (WASM) if your browser needs it. 🔒 100% Private: Runs entirely offline in your browser. No data ever leaves your device. Free, unlimited, and no watermarks.",https://ph-files.imgix.net/43fd128f-c3ec-4af6-8147-4b6bca669cab.png?auto=format,2026-02-13T08:01:00Z,3,7,7,9,9,1,8,6,"The product exhibits strong market potential, PMF, and technical risk management for a common problem, but lacks inherent network effects and a clear monetization path for sustained blitzscaling.",2026-02-13T15:36:47.871Z,2026-02-13T15:36:47.871Z
73befc1b-bdb9-4ddc-ba3b-88898044383e,1079003,SearchSeal,Track what AI says about your brand. Get recommended.,"I asked ChatGPT for the best coding tool and it recommended Claude Code. One year later, still using it. That's how buying decisions happen now. People ask AI for recommendations. Make sure you're getting recommended.",https://ph-files.imgix.net/7efdbb79-035d-41a8-b47d-1a1e4d3fcb35.png?auto=format,2026-02-16T08:01:00Z,93,7.8,8,9,8,7,9,6,"SearchSeal demonstrates strong blitzscaling potential by tackling an urgent, emerging market with a clear problem and high growth potential, but operates in a highly uncertain and rapidly evolving AI landscape.",2026-02-16T12:48:13.051Z,2026-02-16T12:48:13.051Z
894ea972-ce27-4b7f-8f1f-97451efce31b,1071936,Unblocked Code Review,AI code review that knows when to chime in,"AI code review that sees your context, not just your diff. Unblocked draws on context from your whole repo, Slack, Jira, docs, PR history, and more. Every comment moves the conversation forward with cited sources. The result: high-signal comments you'll actually want to implement.",https://ph-files.imgix.net/8f1014fb-18bd-4765-a5db-3d633c50c89d.png?auto=format,2026-02-04T08:01:00Z,118,8,8,9,8,7,9,7,"Unblocked shows strong blitzscaling potential due to its focus on a massive market and a clear pain point with a scalable AI solution, though delivering on its ambitious contextual intelligence is a significant challenge.",2026-02-04T22:01:59.264Z,2026-02-04T22:01:59.264Z
151a3f45-691c-43dd-94ca-809ab6269f74,1072624,Data River,The world's best bank statement converter,"Convert bank statements to Excel, CSV, and Google Sheets with AI-powered accuracy. Save 1000 hours per year converting PDF statements from over 8,000 banks. Free during beta.",https://ph-files.imgix.net/2d7afcf8-348c-4214-bd05-b9e2cb901e1e.png?auto=format,2026-02-11T08:01:00Z,0,8,8,9,9,5,9,7,"This launch exhibits strong potential for product-market fit and hyper-growth in a massive market, strategically using a beta to manage uncertainty, but faces moderate inherent network effects and unstated plans for critical financial compliance risks.",2026-02-11T16:59:50.705Z,2026-02-11T16:59:50.705Z
66f00b42-31ca-48b3-bae9-c3c2b92bb78a,1078857,ManoProtect,Stop phishing & digital scams before they happen,"AI-powered protection that stops phishing and digital scams before they impact your family. ManoProtect scans suspicious links, SMS and online threats in real time, sending instant alerts and providing 24/7 monitoring. Designed for families who want simple, automated digital security. Includes optional GPS tracking and a 7-day free trial.",https://ph-files.imgix.net/40d1b671-08ef-4404-9785-667503f268fe.png?auto=format,2026-02-14T08:01:00Z,2,7.5,7,9,8,7,8,6,"ManoProtect targets a massive market with a scalable, AI-powered solution for family security, showing good PMF and network effects, but competitive differentiation and trust-building in a crowded space, especially with GPS tracking, pose significant risks.",2026-02-14T15:19:22.517Z,2026-02-14T15:19:22.517Z
